,Info_By_EuropePMC_Api
affiliation,"College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan, China."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['review-article', 'Review', 'Journal Article']}"
keywordList,"{'keyword': ['Climate change', 'Crop growth model', 'Adaptation Strategies', 'Yield Gaps', 'Yield Assessment']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3389/fpls.2026.1819890'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13199339'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13199339?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,Y
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCompletion,2026-05-27
dateOfCreation,2026-05-27
firstIndexDate,2026-05-28
fullTextReceivedDate,2026-05-27
dateOfRevision,2026-05-27
electronicPublicationDate,2026-05-11
firstPublicationDate,2026-05-11
