,Info_By_EuropePMC_Api
abstractText,"Uncertainties remain regarding how climate change and human activities affect the aboveground net primary productivity (ANPP) of grassland ecosystems, particularly the differential responses of distinct plant functional groups. Here, we investigate the alpine grasslands of the Qinghai-Xizang Plateau from 2000 to 2022, focusing on the fresh ANPP of the whole plant community and three key functional groups (sedges, graminoids, and forbs). Our objectives are to identify the spatiotemporal trends of ANPP and to determine the dominant drivers (climate vs. human activities) of these changes. Under the combined effects of climate change and human activities, the spatially averaged relative changes in fresh ANPP were -1.15% for the whole community, + 5.67% for sedges, -1.55% for graminoids, and -2.26% for forbs. Regional patterns varied, with some areas showing increasing or decreasing trends over time, while others exhibited no significant change. Climate change dominated 20.79% of the grassland area, human activities dominated 54.26%, and the two drivers jointly dominated 24.95%. When the ANPP of the three functional groups were considered together, the area where all three groups jointly regulated grassland fresh ANPP accounted for the largest proportion (39.12%), followed by areas dominated by forbs (35.43%), sedges (18.27%), and graminoids (7.18%). These results reveal pronounced geographical heterogeneity in the trends of fresh ANPP, both for the whole community and for individual functional groups. Human activities exert a larger controlling influence than climate change over the observed ANPP changes. Moreover, the contribution of each functional group to community ANPP varies spatially. Our findings provide a scientific basis for understanding grassland ecosystem functioning and for developing targeted conservation and management strategies."
affiliation,"Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'N', 'descriptorName': 'Humans'}, {'majorTopic_YN': 'N', 'descriptorName': 'Plants'}, {'majorTopic_YN': 'N', 'descriptorName': 'Poaceae'}, {'majorTopic_YN': 'N', 'descriptorName': 'Conservation of Natural Resources'}, {'majorTopic_YN': 'N', 'descriptorName': 'Ecosystem'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Human Activities'}, {'majorTopic_YN': 'N', 'descriptorName': 'Tibet'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Climate Change'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Grassland'}]}"
subsetList,"{'subset': {'code': 'IM', 'name': 'Index Medicus'}}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.1371/journal.pone.0349705'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13252736'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13252736?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,Y
citedByCount,0
hasData,Y
hasReferences,N
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCompletion,2026-06-11
dateOfCreation,2026-06-10
firstIndexDate,2026-06-11
fullTextReceivedDate,2026-06-13
dateOfRevision,2026-06-11
electronicPublicationDate,2026-06-10
firstPublicationDate,2026-06-10
